iter	Logloss
0	0.5795935262
1	0.4971691753
2	0.419938233
3	0.3827141858
4	0.3453363419
5	0.3210923339
6	0.3026085662
7	0.2828291623
8	0.265428942
9	0.2372228483
10	0.2237209546
11	0.2080990118
12	0.1997331199
13	0.1919642765
14	0.1851068038
15	0.1781231426
16	0.1696936452
17	0.1586119843
18	0.1513263735
19	0.145954489
20	0.1417873048
21	0.1364648362
22	0.1324538776
23	0.1276579691
24	0.1250356876
25	0.1184984848
26	0.1149438634
27	0.1122116805
28	0.1067796154
29	0.09924934493
30	0.09590200181
31	0.09267628435
32	0.08897554152
33	0.08300605716
34	0.08003541141
35	0.07702763929
36	0.07521919487
37	0.07418314442
38	0.07140291196
39	0.06981743602
40	0.06795292573
41	0.06726560551
42	0.06648206082
43	0.06471554635
44	0.0635450119
45	0.0623796457
46	0.06010574826
47	0.05809763756
48	0.05752021094
49	0.05696815375
50	0.05593046573
51	0.05548697425
52	0.05486228487
53	0.05445581492
54	0.05350110743
55	0.05276542286
56	0.05169678951
57	0.0508904749
58	0.05054518918
59	0.04949350691
60	0.04870432367
61	0.04809337893
62	0.04787833112
63	0.04710626958
64	0.04659459053
65	0.04615947044
66	0.04579917012
67	0.04551381043
68	0.04529273433
69	0.04454801109
70	0.04433320653
71	0.04362953236
72	0.04342792183
73	0.04308362958
74	0.0427150652
75	0.04244438915
76	0.04209868338
77	0.04180490256
78	0.04159408415
79	0.04141246793
80	0.04120919616
81	0.04094466992
82	0.04076262162
83	0.04045404906
84	0.0400300643
85	0.03977756544
86	0.03962530921
87	0.03928005776
88	0.03910607374
89	0.03896872633
90	0.03869852388
91	0.03851537116
92	0.03811028106
93	0.03800532726
94	0.03787606496
95	0.03745424277
96	0.03723827841
97	0.03701506401
98	0.03686697631
99	0.03676293905
100	0.03653810347
101	0.03644478662
102	0.03633014322
103	0.03613202016
104	0.03604162584
105	0.03581960671
106	0.03568791357
107	0.03540762206
108	0.03530584055
109	0.03519834733
110	0.03504722362
111	0.0348510592
112	0.03466158237
113	0.03453580984
114	0.03444612301
115	0.03426257254
116	0.03405795019
117	0.03392922268
118	0.03382280691
119	0.0337517485
120	0.03362148469
121	0.03353935246
122	0.03339432065
123	0.03330691818
124	0.03316242547
125	0.03306680888
126	0.03296020598
127	0.03282932889
128	0.0326448873
129	0.03251862725
130	0.03244565754
131	0.03235071055
132	0.03228647484
133	0.03214210326
134	0.03201216985
135	0.03188458811
136	0.03186536319
137	0.03179893264
138	0.03169309769
139	0.03167459825
140	0.03161234039
141	0.03155179682
142	0.03152680752
143	0.03132524012
144	0.03124873257
145	0.03109561291
146	0.03104579565
147	0.03102453097
148	0.03101293727
149	0.03086947458
150	0.03082476689
151	0.03076669413
152	0.03070441168
153	0.03064850635
154	0.03059535534
155	0.03057632836
156	0.03040148371
157	0.03038263425
158	0.03032372368
159	0.03026955886
160	0.03022777386
161	0.03021148236
162	0.03011388207
163	0.03006915742
164	0.03001185479
165	0.02992369823
166	0.02984897763
167	0.02980026386
168	0.02970155361
169	0.02966039798
170	0.02964398781
171	0.0295346831
172	0.02951931001
173	0.02950653347
174	0.02945869527
175	0.02938432548
176	0.02934701553
177	0.02926474752
178	0.02922045987
179	0.02915005379
180	0.02909961127
181	0.02902515891
182	0.02897028397
183	0.02891665833
184	0.02891665899
185	0.02891665639
186	0.02890516995
187	0.02886111844
188	0.02886109606
189	0.02885053799
190	0.02885053103
191	0.02883980419
192	0.02881543731
193	0.02881543731
194	0.02875385132
195	0.0287402654
196	0.02870768234
197	0.02858455795
198	0.02847783173
199	0.02847781744
200	0.02833844743
201	0.02828576772
202	0.02827676601
203	0.0282767553
204	0.02826406321
205	0.02824687467
206	0.02818207955
207	0.02816456658
208	0.02816456139
209	0.02813265011
210	0.02813263616
211	0.02810357826
212	0.02810356302
213	0.02808499258
214	0.02808499582
215	0.02803130938
216	0.02799910003
217	0.02792511916
218	0.02792509173
219	0.02792507423
220	0.02789005562
221	0.02789005594
222	0.02789004541
223	0.02785042074
224	0.02785038213
225	0.02784007052
226	0.0278306158
227	0.02779956979
228	0.02769342439
229	0.02766240743
230	0.02766239887
231	0.02763961173
232	0.0275476445
233	0.02752496415
234	0.02746027868
235	0.02746024531
236	0.02746024368
237	0.0274601754
238	0.02743936218
239	0.02743932665
240	0.02742896505
241	0.0274202724
242	0.02737514741
243	0.02737512893
244	0.02737512893
245	0.02737050058
246	0.02736504241
247	0.0273143845
248	0.02731437493
249	0.02731436989
250	0.02731435691
251	0.02721928338
252	0.02719827718
253	0.02716959745
254	0.02710929
255	0.02704706909
256	0.02699932798
257	0.02696096877
258	0.02695285774
259	0.02692140979
260	0.02684813699
261	0.02682667989
262	0.02668800919
263	0.02665984606
264	0.02656938637
265	0.02655754542
266	0.02650333338
267	0.02649630151
268	0.02647477651
269	0.02643743224
270	0.02640605974
271	0.02640600976
272	0.02640596904
273	0.02638720256
274	0.02634416397
275	0.02629529105
276	0.02623832212
277	0.02612705683
278	0.02608648923
279	0.02606463677
280	0.02603965131
281	0.02599475713
282	0.02595247056
283	0.02593148967
284	0.02589667673
285	0.02585266573
286	0.02585266573
287	0.02585266573
288	0.02581591726
289	0.02574337637
290	0.02574336099
291	0.02574334946
292	0.02574332617
293	0.0257001648
294	0.02568119615
295	0.02567028222
296	0.02567026428
297	0.02567023734
298	0.02566215826
299	0.02566214464
